2026/06/18 12:09:01.724, 100, 46, 548, 16376, 141.58
2026/06/18 12:09:02.726, 4, 1, 2633, 16376, 51.95
2026/06/18 12:09:03.726, 100, 45, 2632, 16376, 228.86
2026/06/18 12:09:04.726, 100, 45, 2631, 16376, 250.76
2026/06/18 12:09:05.726, 100, 46, 2631, 16376, 252.31
2026/06/18 12:09:06.726, 100, 46, 2631, 16376, 252.00
2026/06/18 12:09:07.727, 100, 46, 2625, 16376, 251.89
2026/06/18 12:09:08.727, 95, 43, 2625, 16376, 251.41
2026/06/18 12:09:09.727, 100, 46, 2625, 16376, 252.42
2026/06/18 12:09:10.727, 100, 46, 2621, 16376, 252.35
2026/06/18 12:09:11.727, 100, 46, 2621, 16376, 251.95
2026/06/18 12:09:12.727, 100, 45, 2621, 16376, 251.91
2026/06/18 12:09:13.727, 95, 43, 2621, 16376, 251.25
2026/06/18 12:09:14.727, 100, 46, 2621, 16376, 252.25
2026/06/18 12:09:15.728, 100, 46, 2621, 16376, 251.87
2026/06/18 12:09:16.728, 100, 46, 2621, 16376, 251.98
2026/06/18 12:09:17.728, 100, 46, 2621, 16376, 251.44
2026/06/18 12:09:18.728, 100, 46, 2621, 16376, 251.00
